raca,sexo,faixaEtaria,CO_MUNICIPIO_ESC,depAdminEsc,TP_ESCOLA,educMae,ocupPai,pessoasResid,rendFam,NU_NOTA_MT,NU_NOTA_LC,NU_NOTA_CH,NU_NOTA_CN,NU_NOTA_REDACAO,raca2,tpEscola,media,rendFamP
Branca,M,< 23,3525904,Privada,3,17,G3,3,4400,424.6,428.3,448.5,496.9,580,Branca,Privada,449.575,1466.66666666667
Parda,F,< 23,3550308,Estadual,2,12,G3,5,3300,451.8,522.9,419.8,407.9,0,PPI,Publica,450.6,660
Preta,F,< 23,3549904,Estadual,2,12,NS,8,1650,,,,,,PPI,Publica,,206.25
ND,M,< 23,3550308,Estadual,2,9,NS,4,4400,365.4,407.4,483.9,522.2,320,,Publica,444.725,1100
Parda,M,< 23,,,2,12,G3,2,1650,,,,,,PPI,Publica,,825
Branca,M,31-50,,,1,5,NS,2,30000,717.2,671.4,704.5,602.5,660,Branca,,673.9,15000
Parda,F,< 23,,,1,5,G3,2,1100,,,,,,PPI,,,550
Parda,F,< 23,3501608,Estadual,2,12,G3,4,7700,540.8,603.8,597.7,526.9,820,PPI,Publica,567.3,1925
Parda,F,< 23,,,1,9,G4,6,4400,,,,,,PPI,,,733.333333333333
Branca,F,< 23,,,2,17,G4,4,5500,474,432.2,475.3,516.7,620,Branca,Publica,474.55,1375
Branca,M,< 23,,,2,12,G2,4,0,444.5,545.8,542,477.5,340,Branca,Publica,502.45,0
Parda,M,< 23,,,2,12,G3,3,1650,435.1,396.6,387.5,446.4,560,PPI,Publica,416.4,550
Amarela,F,< 23,3530607,Privada,3,16,G4,4,11000,623.9,528.9,594.3,597.2,700,Branca,Privada,586.075,2750
Branca,M,< 23,,,1,9,G3,5,1650,492.5,395.1,378,359.9,260,Branca,,406.375,330
Parda,F,< 23,3552502,Estadual,2,16,NS,3,1100,463.4,506.9,532.5,415,800,PPI,Publica,479.45,366.666666666667
Parda,F,< 23,,,1,9,G2,4,2200,,,,,,PPI,,,550
Branca,M,< 23,3534708,Privada,3,12,G2,4,3300,625.5,561.9,656.7,644.1,660,Branca,Privada,622.05,825
Branca,M,< 23,3534401,Estadual,2,16,NS,4,5500,604.9,526.1,589.5,499.5,680,Branca,Publica,555,1375
Branca,F,< 23,,,1,12,G4,4,1100,689.4,616.9,630.8,597.8,880,Branca,,633.725,275
Branca,M,< 23,3550308,Privada,3,16,G5,4,16500,655,536.8,546.9,589.6,600,Branca,Privada,582.075,4125
Branca,M,31-50,,,1,2,G3,3,2750,,,,,,Branca,,,916.666666666667
Branca,F,< 23,,,2,12,G4,3,3300,517.4,450.5,481.6,460.3,720,Branca,Publica,477.45,1100
Branca,F,< 23,,,1,16,G4,4,13200,631.7,715.1,681.9,626.8,880,Branca,,663.875,3300
Branca,M,< 23,,,1,9,G5,4,9900,,,,,,Branca,,,2475
Branca,F,< 23,3525003,Estadual,2,12,G4,3,2200,497.5,515.4,511.7,466.8,540,Branca,Publica,497.85,733.333333333333
Branca,F,< 23,3550308,Estadual,2,2,G2,3,1100,,,,,,Branca,Publica,,366.666666666667
Branca,F,< 23,3538709,Privada,2,12,G5,7,11000,454.8,568.3,599.7,560.8,600,Branca,Publica,545.9,1571.42857142857
Preta,F,31-50,,,1,16,NS,4,2200,508.1,556.1,572.1,529.2,460,PPI,,541.375,550
Branca,F,< 23,,,2,12,G4,3,1650,578.3,536.1,579.9,544.3,580,Branca,Publica,559.65,550
Parda,M,< 23,2305407,Estadual,2,12,G2,4,1650,,,,,,PPI,Publica,,412.5
Branca,F,< 23,3511706,Estadual,2,12,G2,2,2200,,,,,,Branca,Publica,,1100
Branca,M,< 23,,,1,5,G2,2,1100,,,,,,Branca,,,550
Branca,F,< 23,,,2,17,G2,4,5500,772,602.7,578,680.4,800,Branca,Publica,658.275,1375
Branca,M,< 23,,,1,16,G4,4,11000,613.5,545.9,589.7,548.7,740,Branca,,574.45,2750
Preta,F,24-30,,,1,2,G3,5,2200,,,,,,PPI,,,440
Parda,F,< 23,,,1,12,G3,5,5500,656.6,528.4,477.7,570.8,580,PPI,,558.375,1100
Parda,F,< 23,,,1,2,G3,6,2200,,431.4,496.6,,560,PPI,,,366.666666666667
Parda,M,< 23,3550308,Estadual,2,16,G3,3,1650,688.5,576.3,608.9,503.4,540,PPI,Publica,594.275,550
Parda,M,< 23,3550308,Estadual,2,12,G3,3,2200,,,,,,PPI,Publica,,733.333333333333
